2025-10-25 22:42:27, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:62
2025-10-25 22:46:45, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:70
2025-10-25 22:47:13, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:70
2025-10-25 22:48:10, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:70
2025-10-25 22:48:24, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:70
2025-10-25 22:49:08, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:70
2025-10-25 22:49:26, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:70
2025-10-25 22:49:39, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:70
2025-10-25 22:50:04, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:70
2025-10-25 22:50:20, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:70
2025-10-25 22:54:35, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:74
2025-10-25 23:25:19, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:74
2025-10-25 23:26:10, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:74
2025-10-25 23:27:10, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:74
2025-10-25 23:27:33, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:74
2025-10-25 23:27:55, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:75
2025-10-25 23:28:09, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:75
2025-10-25 23:29:01, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:75
2025-10-25 23:29:24, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:75
2025-10-25 23:30:00, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:75
2025-10-25 23:32:40, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:85
2025-10-25 23:34:39, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:82
2025-10-25 23:35:11, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:79
2025-10-25 23:43:53, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:79
2025-10-25 23:44:52, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:82
2025-10-25 23:45:34, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:82
2025-10-25 23:46:18, MOVE, v:1, k:poo@grafite, mode:BACK
2025-10-25 23:46:24, MOVE, v:1, k:poo@grafite, mode:PICK
2025-10-25 23:46:27, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10
2025-10-25 23:48:18, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:82
2025-10-25 23:49:14, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:79
2025-10-25 23:49:34, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:79
2025-10-25 23:50:55, EXEC, v:1, k:poo@grafite, mode:FULL, rate:0, size:85
2025-10-25 23:51:31, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:82
2025-10-25 23:59:14, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:83
2025-10-25 23:59:33, EXEC, v:1, k:poo@grafite, mode:FULL, rate:10, size:83
